gameid,date,ejectee,ejecteename,team,job,umpire,umpirename,inning,reason,month,day,year,city,nickname
BOS195909070,09/07/1959,stenc101,Casey Stengel,NYA,M,mckib901,Bill McKinley,8,Balls and strikes,9,7,1959,New York,Yankees
BAL195909092,09/09/1959,vinca801,Al Vincent,BAL,C,ricej901,John Rice,-1,Balls and strikes,9,9,1959,Baltimore,Orioles
LAN195909090,09/09/1959,haneh101,Harry Hanebrink,PHI,P,venzt901,Tony Venzon,7,Bench jockeying,9,9,1959,Philadelphia,Phillies
LAN195909111,09/11/1959,alstw101,Walter Alston,LAN,M,craws901,Shag Crawford,3,Call at 1B,9,11,1959,Los Angeles,Dodgers
LAN195909112,09/11/1959,burgs101,Smoky Burgess,PIT,P,craws901,Shag Crawford,6,Balls and strikes,9,11,1959,Pittsburgh,Pirates
LAN195909112,09/11/1959,murtd101,Danny Murtaugh,PIT,M,craws901,Shag Crawford,6,Balls and strikes,9,11,1959,Pittsburgh,Pirates
BAL195909120,09/12/1959,richp101,Paul Richards,BAL,M,romme101,Eddie Rommel,8,Balls and strikes,9,12,1959,Baltimore,Orioles
SFN195909140,09/14/1959,baile101,Ed Bailey,CIN,P,conlj102,Jocko Conlan,2,Called third strike,9,14,1959,Cincinnati,Reds
SFN195909140,09/14/1959,hutcf101,Fred Hutchinson,CIN,M,conlj102,Jocko Conlan,2,Called third strike,9,14,1959,Cincinnati,Reds
LAN195909150,09/15/1959,snidd101,Duke Snider,LAN,P,secof101,Frank Secory,2,Called third strike,9,15,1959,Los Angeles,Dodgers
SFN195909150,09/15/1959,tempj101,Johnny Temple,CIN,P,burkk101,Ken Burkhart,5,Balls and strikes,9,15,1959,Cincinnati,Reds
LAN195909170,09/17/1959,hutcf101,Fred Hutchinson,CIN,M,jackb901,Bill Jackowski,8,Call at 1B (Reversed),9,17,1959,Cincinnati,Reds
WS1195909200,09/20/1959,woodg101,Gene Woodling,BAL,P,stewb902,Bob Stewart,3,Called third strike,9,20,1959,Baltimore,Orioles
SLN195909220,09/22/1959,hemus101,Solly Hemus,SLN,M,barla901,Al Barlick,1,Balls and strikes,9,22,1959,St. Louis,Cardinals
CHN195909230,09/23/1959,rignb101,Bill Rigney,SFN,M,dascf901,Frank Dascoli,7,Call at 3B,9,23,1959,San Francisco,Giants
CHA195910080,10/08/1959,dresc101,Chuck Dressen,LAN,C,hurle901,Eddie Hurley,4,Balls and strikes,10,8,1959,Los Angeles,Dodgers
BAL196004190,04/19/1960,richp101,Paul Richards,BAL,M,nappl901,Larry Napp,6,Balls and strikes,4,19,1960,Baltimore,Orioles
MLN196004200,04/20/1960,hutcf101,Fred Hutchinson,CIN,M,dascf901,Frank Dascoli,7,Bench jockeying,4,20,1960,Cincinnati,Reds
MLN196004200,04/20/1960,martb105,Billy Martin,CIN,P,dascf901,Frank Dascoli,7,Bench jockeying,4,20,1960,Cincinnati,Reds
KC1196004240,04/24/1960,chith101,Harry Chiti,KC1,P,papaj901,Joe Paparella,6,Balls and strikes,4,24,1960,Kansas City,Athletics
SLN196004250,04/25/1960,cannc101,Chris Cannizzaro,SLN,P,secof101,Frank Secory,7,Call at HP,4,25,1960,St. Louis,Cardinals
CLE196004300,04/30/1960,pierj102,Jim Piersall,CLE,P,ricej901,John Rice,3,Called third strike,4,30,1960,Cleveland,Indians
CHA196005012,05/01/1960,dykej101,Jimmy Dykes,DET,M,stevj901,Johnny Stevens,6,Balk call,5,1,1960,Detroit,Tigers
MLN196005010,05/01/1960,logaj101,Johnny Logan,MLN,P,burkk101,Ken Burkhart,7,Called third strike,5,1,1960,Milwaukee,Braves
CHN196005030,05/03/1960,darka101,Al Dark,PHI,P,conlj102,Jocko Conlan,5,Called third strike,5,3,1960,Philadelphia,Phillies
NYA196005030,05/03/1960,hitcb101,Billy Hitchcock,DET,C,hurle901,Ed Hurley,5,Call at 3B,5,3,1960,Detroit,Tigers
BAL196005040,05/04/1960,lolls101,Sherm Lollar,CHA,P,smita901,Al Smith,1,Balls and strikes,5,4,1960,Chicago,White Sox
BAL196005040,05/04/1960,lopea102,Al Lopez,CHA,M,smita901,Al Smith,7,Balls and strikes,5,4,1960,Chicago,White Sox
NYA196005040,05/04/1960,berry101,Yogi Berra,NYA,P,flahr901,Red Flaherty,4,Balls and strikes,5,4,1960,New York,Yankees
BAL196005050,05/05/1960,richp101,Paul Richards,BAL,M,smita901,Al Smith,7,Double/home run reversal,5,5,1960,Baltimore,Orioles
BAL196005060,05/06/1960,gordj101,Joe Gordon,CLE,M,runge901,Ed Runge,4,Check swing,5,6,1960,Cleveland,Indians
BAL196005060,05/06/1960,hardm101,Mel Harder,CLE,C,runge901,Ed Runge,4,Check swing,5,6,1960,Cleveland,Indians
SFN196005060,05/06/1960,clemr101,Roberto Clemente,PIT,P,craws901,Shag Crawford,9,Threw helmet,5,6,1960,Pittsburgh,Pirates
LAN196005070,05/07/1960,gillj102,Jim Gilliam,LAN,P,varge901,Ed Vargo,8,Call at 3B (Bumped umpire),5,7,1960,Los Angeles,Dodgers
SFN196005070,05/07/1960,murtd101,Danny Murtaugh,PIT,M,venzt901,Tony Venzon,7,Call at 3B (Appeal play),5,7,1960,Pittsburgh,Pirates
SFN196005070,05/07/1960,stuad101,Dick Stuart,PIT,P,venzt901,Tony Venzon,9,Bench jockeying,5,7,1960,Pittsburgh,Pirates
